platform,listing_id,title,category,brand,condition,listed_price,sold_price,date_listed,date_sold,status,days_to_sell,days_active
depop,D0470,Olive Green Pacsun Ribbed La Hearts,tops,PacSun,good,5.4,5.4,2025-08-17,2025-09-27,sold,41.0,
depop,D0471,Brand New With Tags Juicy Couture,accessories,Juicy Couture,good,15.0,15.0,2020-08-08,2020-10-01,sold,54.0,
depop,D0472,5 Sold 5 More Available Custom,other,Other,good,40.0,40.0,2020-07-15,2020-10-02,sold,79.0,
depop,D0473,Shipping❤️ @Aanyah979,other,Other,good,4.5,4.5,2020-10-01,2020-10-02,sold,1.0,
depop,D0474,Silver Hair Clips $6 For 10,accessories,DKNY,good,6.0,6.0,2020-09-28,2020-10-06,sold,8.0,
depop,D0475,Never Worn Three Lace Chokers Pink,accessories,Other,good,3.0,3.0,2020-09-28,2020-10-07,sold,9.0,
depop,D0476,Brandy Melville White Coco Wrap Top,tops,Brandy Melville,good,4.5,4.5,2020-10-07,2020-10-07,sold,0.0,
depop,D0477,Brand New Black Claw Clip Hairclip,accessories,Other,good,6.5,6.5,2020-09-28,2020-10-09,sold,11.0,
depop,D0478,Brand New With Tag Lani The,tops,Nordstrom,good,1.0,1.0,2020-08-22,2020-11-06,sold,76.0,
depop,D0479,Leopard Print Lingerie Slip Dress With,other,Other,good,20.0,20.0,2020-11-05,2020-11-08,sold,3.0,
depop,D0480,Black Brandy Melville Ariana Painter Pants,other,Brandy Melville,good,1.0,1.0,2020-09-10,2020-11-09,sold,60.0,
depop,D0481,Dooney And Bourke Blue Monogram Shoulder,accessories,Dooney & Bourke,good,1.0,1.0,2020-09-14,2020-11-10,sold,57.0,
depop,D0482,Brandy Melville Coco Wrap Top I,tops,Brandy Melville,good,1.88,1.88,2020-10-07,2020-11-12,sold,36.0,
depop,D0483,White And Beige Ep Pro Tour,tops,Other,good,1.0,1.0,2020-11-12,2020-11-15,sold,3.0,
depop,D0484,Trade! Red Lace Dress With Adjustable,dresses,Other,good,1.0,1.0,2020-11-05,2020-11-15,sold,10.0,
depop,D0485,Trade! Size Small Red Lace Dress,dresses,Other,good,5.75,5.75,2020-11-05,2020-11-17,sold,12.0,
depop,D0486,Lany Pink Transparent Monogram Handbag Purse,accessories,Other,good,1.88,1.88,2020-09-04,2020-11-19,sold,76.0,
depop,D0487,Trade! Brand New With Tag 100%,accessories,Other,good,1.0,1.0,2020-08-05,2020-11-22,sold,109.0,
depop,D0488,Silver Hair Clips $6.50 For 10,accessories,DKNY,good,6.5,6.5,2020-09-28,2020-12-12,sold,75.0,
depop,D0489,Brand New With Tags Dooney And,accessories,Dooney & Bourke,good,80.0,80.0,2020-07-22,2020-12-25,sold,156.0,
depop,D0490,Mustard Yellow V Neck Bodycon Midi,dresses,Other,good,12.0,12.0,2021-08-29,2021-10-02,sold,34.0,
depop,D0491,Black Ankle Strap Platform Sandals Woven,footwear,Other,good,12.0,12.0,2021-08-21,2021-10-03,sold,43.0,
